company_id,name,industry,size_band,city,tier,registered_date
1,Pandey Inc,FMCG,Startup (<50),Bahraich,Tier-3,2023-10-03
2,Patel Group,FMCG,Small (50-200),Bhagalpur,Tier-3,2023-12-03
3,Walia-Narain,EdTech,Mid (200-1000),Hazaribagh,Tier-3,2024-01-23
4,"Bhatia, Bhatnagar and Banik",Logistics,Small (50-200),Tiruppur,Tier-1,2023-07-15
5,Warrior-Grewal,Manufacturing,Startup (<50),Bally,Tier-2,2023-09-01
6,Anne-Patel,Financial Services,Startup (<50),Rajpur Sonarpur,Tier-3,2023-07-16
7,Rege Ltd,Consulting,Small (50-200),Davanagere,Tier-3,2023-09-04
8,Parmer Group,E-Commerce,Mid (200-1000),Raurkela Industrial Township,Tier-2,2023-06-18
9,"Savant, Divan and Dayal",Cybersecurity,Small (50-200),Morena,Tier-3,2023-12-18
10,Chandra LLC,Logistics,Startup (<50),Kozhikode,Tier-2,2023-11-14
11,"Yadav, Varty and Krishna",FMCG,Small (50-200),Hosur,Tier-3,2023-07-16
12,Chander Ltd,Information Technology,Large (1000-5000),Chennai,Tier-2,2023-06-02
13,Rama-Baral,Cybersecurity,Small (50-200),Maheshtala,Tier-1,2023-10-20
14,Anand Group,Manufacturing,Large (1000-5000),Tirunelveli,Tier-2,2023-09-06
15,Devan-Din,Consulting,Mid (200-1000),Karnal,Tier-3,2023-10-07
16,Merchant LLC,Healthcare,Mid (200-1000),Siliguri,Tier-2,2023-12-18
17,"Wagle, Dey and Mittal",Manufacturing,Small (50-200),Anand,Tier-2,2023-10-27
18,Dewan Ltd,Manufacturing,Startup (<50),Jaunpur,Tier-3,2023-09-16
19,Prasad-Vala,E-Commerce,Large (1000-5000),Madanapalle,Tier-2,2024-03-15
20,Dubey-Pal,Consulting,Startup (<50),Bhopal,Tier-3,2023-07-18
21,"Sama, Sarkar and Mishra",Manufacturing,Mid (200-1000),Madhyamgram,Tier-1,2023-08-15
22,Naidu Ltd,E-Commerce,Small (50-200),Mysore,Tier-2,2023-06-04
23,"Pillai, Narang and Karpe",Logistics,Enterprise (5000+),Sri Ganganagar,Tier-2,2023-06-29
24,Malhotra LLC,Telecommunications,Small (50-200),Dhule,Tier-2,2023-08-16
25,"Pau, Gara and Choudhary",E-Commerce,Startup (<50),Bulandshahr,Tier-2,2024-01-13
26,Bose Ltd,Consulting,Enterprise (5000+),Howrah,Tier-2,2024-02-12
27,"Pillay, Palan and Shere",Healthcare,Startup (<50),Udaipur,Tier-3,2023-11-11
28,Koshy LLC,E-Commerce,Startup (<50),Sambalpur,Tier-3,2024-01-23
29,Mohan and Sons,Automotive,Startup (<50),Dehradun,Tier-3,2023-06-25
30,"Yohannan, Kala and Prashad",Logistics,Startup (<50),Raipur,Tier-3,2024-02-15
31,"Palla, Sachar and Naidu",Telecommunications,Large (1000-5000),Raurkela Industrial Township,Tier-3,2024-03-06
32,"Reddy, Amble and Kara",EdTech,Small (50-200),Sambhal,Tier-1,2024-02-02
33,Das-Tailor,Financial Services,Mid (200-1000),Ramgarh,Tier-1,2023-06-29
34,"Puri, Lal and Bhatt",FMCG,Mid (200-1000),Tenali,Tier-2,2023-09-20
35,"Nigam, Sibal and Agrawal",Healthcare,Small (50-200),Sultan Pur Majra,Tier-3,2024-03-03
36,"Lanka, Char and Gera",EdTech,Mid (200-1000),Dhanbad,Tier-1,2023-09-20
37,De LLC,Information Technology,Enterprise (5000+),Gandhinagar,Tier-3,2023-06-08
38,Sule Inc,Information Technology,Small (50-200),Vijayawada,Tier-2,2023-06-23
39,Vasa-Soni,Information Technology,Large (1000-5000),Phusro,Tier-3,2024-01-03
40,Dora Ltd,Healthcare,Small (50-200),Erode,Tier-3,2023-08-11
41,"Shere, Choudhary and Som",EdTech,Startup (<50),Begusarai,Tier-2,2024-02-19
42,Kale and Sons,Cybersecurity,Startup (<50),Mahbubnagar,Tier-3,2024-01-04
43,Char-Kala,Logistics,Mid (200-1000),Kozhikode,Tier-3,2024-01-30
44,"Subramaniam, Bobal and Pandya",Telecommunications,Small (50-200),Thrissur,Tier-2,2023-11-17
45,Dhingra Group,Manufacturing,Small (50-200),Tiruchirappalli,Tier-3,2023-12-24
46,"Suresh, Halder and Salvi",EdTech,Small (50-200),Mehsana,Tier-2,2024-03-09
47,Gola-Subramaniam,Consulting,Enterprise (5000+),Nanded,Tier-3,2023-08-01
48,Zacharia Ltd,Telecommunications,Large (1000-5000),Nashik,Tier-3,2023-08-24
49,Gokhale Inc,Automotive,Mid (200-1000),Saharanpur,Tier-2,2023-11-06
50,"Mital, Brahmbhatt and Raval",Telecommunications,Small (50-200),Gopalpur,Tier-3,2023-06-15
51,"Shah, Rege and Verma",Healthcare,Enterprise (5000+),Bardhaman,Tier-1,2023-10-27
52,"Khosla, Deo and Hegde",Manufacturing,Small (50-200),Sultan Pur Majra,Tier-3,2024-01-02
53,"Lad, Zacharia and Mitra",Logistics,Small (50-200),Firozabad,Tier-3,2023-09-19
54,Prasad and Sons,Healthcare,Mid (200-1000),Dhule,Tier-2,2023-09-03
55,Mistry Group,Cybersecurity,Mid (200-1000),Tirupati,Tier-2,2023-10-25
56,"Varughese, Virk and Bakshi",Consulting,Startup (<50),Guwahati,Tier-2,2023-11-29
57,Modi-Suri,Logistics,Mid (200-1000),Kottayam,Tier-2,2023-12-29
58,Rana Group,Automotive,Enterprise (5000+),Morbi,Tier-1,2023-10-24
59,Varkey and Sons,Financial Services,Startup (<50),Parbhani,Tier-3,2023-11-19
60,"Wagle, Pandit and Raja",Manufacturing,Large (1000-5000),Madhyamgram,Tier-2,2023-12-28
61,Pant LLC,Cybersecurity,Startup (<50),Khandwa,Tier-2,2023-09-11
62,Pillay-Murthy,EdTech,Small (50-200),Kolkata,Tier-1,2023-08-01
63,Goel-Gupta,Telecommunications,Mid (200-1000),Kadapa,Tier-2,2023-11-08
64,"Devi, Nagarajan and Chokshi",Telecommunications,Startup (<50),Bhimavaram,Tier-3,2023-09-13
65,Kari Ltd,EdTech,Enterprise (5000+),Erode,Tier-3,2023-07-05
66,"Kara, Chauhan and Gopal",Automotive,Enterprise (5000+),Loni,Tier-3,2023-12-05
67,Banerjee-Khare,Financial Services,Mid (200-1000),Guwahati,Tier-3,2024-02-11
68,Narasimhan PLC,Consulting,Small (50-200),Panchkula,Tier-2,2024-03-18
69,"Bath, Raman and Shroff",Logistics,Small (50-200),Raurkela Industrial Township,Tier-3,2023-12-15
70,Nagar and Sons,EdTech,Startup (<50),Jamalpur,Tier-2,2024-03-16
71,"Rajagopalan, Gopal and Chowdhury",EdTech,Large (1000-5000),Agra,Tier-3,2024-03-23
72,Tiwari Group,Consulting,Small (50-200),Jammu,Tier-2,2023-11-15
73,"Ghosh, Buch and Chandra",Consulting,Startup (<50),Gorakhpur,Tier-3,2023-06-07
74,"Gokhale, Sharma and Modi",Information Technology,Small (50-200),Arrah,Tier-3,2023-09-26
75,"Thaker, Dey and Swamy",Cybersecurity,Mid (200-1000),Parbhani,Tier-3,2023-09-21
76,Virk-Rajagopalan,Telecommunications,Mid (200-1000),Motihari,Tier-3,2023-11-09
77,"Walla, Gokhale and Bhardwaj",E-Commerce,Startup (<50),Loni,Tier-2,2023-09-02
78,Loyal LLC,FMCG,Enterprise (5000+),Kanpur,Tier-2,2023-12-20
79,Chandra Group,Cybersecurity,Mid (200-1000),Varanasi,Tier-2,2023-10-18
80,Khalsa-Johal,Automotive,Large (1000-5000),Hindupur,Tier-3,2023-10-10
81,"Zacharia, Naik and Sha",Logistics,Mid (200-1000),Srinagar,Tier-3,2023-08-11
82,Goda Ltd,Financial Services,Enterprise (5000+),Panihati,Tier-3,2023-06-05
83,Saini-Varty,FMCG,Mid (200-1000),Nagaon,Tier-3,2023-08-21
84,Dhillon Ltd,E-Commerce,Startup (<50),Mysore,Tier-2,2023-08-05
85,Mahajan and Sons,EdTech,Enterprise (5000+),Amroha,Tier-2,2023-07-18
86,Baral Inc,Cybersecurity,Mid (200-1000),Gurgaon,Tier-3,2023-10-14
87,Kapadia PLC,EdTech,Small (50-200),Nagaon,Tier-2,2023-11-28
88,"Barman, Solanki and Pall",Telecommunications,Mid (200-1000),Eluru,Tier-2,2024-03-27
89,"Mall, Mani and Jayaraman",Logistics,Startup (<50),Ulhasnagar,Tier-2,2023-12-06
90,"Hayre, Guha and Bali",Cybersecurity,Startup (<50),Tirupati,Tier-2,2023-09-10
91,Halder and Sons,Telecommunications,Small (50-200),Hubli–Dharwad,Tier-3,2023-08-06
92,"Baral, Mukhopadhyay and Bera",Healthcare,Startup (<50),Buxar,Tier-3,2024-02-04
93,Madan-Bansal,Consulting,Mid (200-1000),Panihati,Tier-2,2023-12-29
94,Devi-Brahmbhatt,Information Technology,Mid (200-1000),Bhiwani,Tier-3,2023-10-18
95,Dalal-Prabhu,Financial Services,Startup (<50),Kishanganj,Tier-2,2023-10-24
96,Golla LLC,E-Commerce,Startup (<50),Sambalpur,Tier-3,2024-01-06
97,"Edwin, Peri and Purohit",Manufacturing,Mid (200-1000),Bareilly,Tier-2,2023-09-18
98,Brar-Setty,Information Technology,Startup (<50),Arrah,Tier-1,2023-09-03
99,"Manne, Chakraborty and Kibe",FMCG,Enterprise (5000+),Patna,Tier-1,2024-01-28
100,"Chokshi, Pillay and Bir",Information Technology,Enterprise (5000+),Ambattur,Tier-2,2024-03-06
101,Barad Inc,Financial Services,Large (1000-5000),Thoothukudi,Tier-2,2023-09-21
102,"Chowdhury, Chokshi and Kulkarni",Telecommunications,Small (50-200),Muzaffarnagar,Tier-2,2023-08-19
103,Devan-Krishnamurthy,E-Commerce,Large (1000-5000),Jabalpur,Tier-3,2024-03-13
104,Ram-Dasgupta,E-Commerce,Large (1000-5000),Karimnagar,Tier-3,2023-08-02
105,Rajagopalan-Puri,Information Technology,Small (50-200),Phusro,Tier-2,2023-09-11
106,Sastry and Sons,EdTech,Large (1000-5000),Naihati,Tier-2,2023-08-16
107,Murthy-Sahota,Manufacturing,Enterprise (5000+),Phusro,Tier-2,2023-09-06
108,Chander and Sons,FMCG,Mid (200-1000),Gangtok,Tier-2,2023-08-18
109,Minhas Ltd,E-Commerce,Small (50-200),Madurai,Tier-2,2023-12-07
110,Srinivas and Sons,Information Technology,Mid (200-1000),Gorakhpur,Tier-3,2023-07-15
111,"Tak, Pandit and Balan",Cybersecurity,Mid (200-1000),Danapur,Tier-3,2023-11-04
112,"Shankar, Hora and Kohli",FMCG,Large (1000-5000),Raiganj,Tier-3,2023-12-19
113,Palla-Modi,E-Commerce,Mid (200-1000),Haridwar,Tier-3,2024-03-12
114,Sidhu LLC,Manufacturing,Small (50-200),Bhalswa Jahangir Pur,Tier-2,2023-06-14
115,Shetty-Hegde,Telecommunications,Large (1000-5000),Madurai,Tier-3,2024-01-08
116,"Vyas, Raju and Sethi",Logistics,Startup (<50),Kurnool,Tier-2,2023-11-16
117,"Sawhney, Divan and Raghavan",Healthcare,Startup (<50),Bhiwani,Tier-3,2023-06-28
118,"Vyas, Iyer and Seth",Automotive,Mid (200-1000),Meerut,Tier-3,2024-01-26
119,Mani LLC,Automotive,Large (1000-5000),Singrauli,Tier-2,2023-09-17
120,Parikh-Bhatt,Logistics,Mid (200-1000),Coimbatore,Tier-2,2023-10-29
121,Dhingra-Sarraf,Telecommunications,Small (50-200),Muzaffarnagar,Tier-2,2023-12-24
122,"Nori, Bera and Grover",Telecommunications,Startup (<50),Farrukhabad,Tier-3,2023-06-13
123,Chaudhry Group,Information Technology,Small (50-200),Chandigarh,Tier-2,2024-01-11
124,"Vig, Vig and De",Automotive,Small (50-200),Mango,Tier-2,2023-08-19
125,Doshi LLC,Manufacturing,Enterprise (5000+),Sasaram,Tier-2,2023-11-03
126,Hegde LLC,Consulting,Small (50-200),Ajmer,Tier-3,2024-01-07
127,"Bhandari, Sarna and Dara",Consulting,Startup (<50),Ulhasnagar,Tier-3,2023-12-11
128,"Khare, Balasubramanian and Dugar",FMCG,Small (50-200),Kakinada,Tier-2,2023-11-06
129,"Arora, Aggarwal and Singh",Cybersecurity,Large (1000-5000),Kamarhati,Tier-1,2024-03-14
130,Mane PLC,Healthcare,Large (1000-5000),Agartala,Tier-2,2024-01-07
131,Mall-Bhasin,Logistics,Startup (<50),Salem,Tier-2,2023-06-03
132,Sem LLC,Logistics,Mid (200-1000),Pimpri-Chinchwad,Tier-3,2024-03-16
133,Nazareth-Kumer,Logistics,Small (50-200),Ranchi,Tier-2,2023-11-06
134,Sidhu-Gole,Healthcare,Enterprise (5000+),Jamnagar,Tier-1,2024-02-21
135,"Kulkarni, Mohan and Karpe",Consulting,Startup (<50),Aurangabad,Tier-2,2024-02-14
136,"Venkataraman, Edwin and Issac",E-Commerce,Small (50-200),Kolhapur,Tier-3,2023-11-30
137,Palla and Sons,Cybersecurity,Small (50-200),Kadapa,Tier-2,2023-06-09
138,Kalita and Sons,Automotive,Startup (<50),Nashik,Tier-3,2023-11-15
139,Tiwari Group,EdTech,Large (1000-5000),Gandhinagar,Tier-2,2024-03-23
140,Randhawa Ltd,E-Commerce,Small (50-200),Etawah,Tier-2,2023-11-19
141,Bhagat-Varkey,Logistics,Mid (200-1000),Berhampore,Tier-2,2024-01-05
142,"Sastry, Date and Chakrabarti",E-Commerce,Small (50-200),Rajahmundry,Tier-3,2024-03-19
143,"Mittal, Sunder and Bhat",Telecommunications,Small (50-200),Meerut,Tier-1,2023-09-03
144,Ganesh Group,Consulting,Mid (200-1000),Udupi,Tier-2,2023-12-12
145,Andra Ltd,FMCG,Small (50-200),Berhampur,Tier-1,2023-08-14
146,"Gade, Pillay and Pillai",Healthcare,Small (50-200),Eluru,Tier-2,2023-08-13
147,"Kar, Buch and Palan",EdTech,Startup (<50),Noida,Tier-3,2024-01-16
148,Bassi-Kapadia,Cybersecurity,Small (50-200),Hospet,Tier-3,2023-08-21
149,Dave-Saha,Telecommunications,Small (50-200),Kurnool,Tier-3,2023-10-04
150,Gulati Group,Logistics,Startup (<50),Bhusawal,Tier-3,2023-11-03
151,Pai PLC,Cybersecurity,Small (50-200),Yamunanagar,Tier-3,2023-12-29
152,Atwal-Deshpande,Automotive,Mid (200-1000),Salem,Tier-2,2023-08-24
153,Narayanan-Bath,Telecommunications,Mid (200-1000),Pune,Tier-3,2023-06-29
154,Konda-Narayanan,Cybersecurity,Startup (<50),Vasai-Virar,Tier-1,2023-10-17
155,Goel-Dave,Telecommunications,Startup (<50),Raurkela Industrial Township,Tier-3,2023-08-30
156,Dugar Inc,Healthcare,Startup (<50),Chapra,Tier-2,2023-10-02
157,"Sahota, Muni and Madan",Manufacturing,Mid (200-1000),Gwalior,Tier-2,2023-10-07
158,Kari LLC,Consulting,Enterprise (5000+),Kadapa,Tier-3,2023-12-31
159,Dutta PLC,Consulting,Enterprise (5000+),Gandhinagar,Tier-2,2023-07-24
160,"Ratti, Behl and Radhakrishnan",Information Technology,Enterprise (5000+),Anantapur,Tier-3,2023-11-28
161,Sahni Ltd,Financial Services,Mid (200-1000),Tiruppur,Tier-3,2023-10-31
162,"Venkataraman, Char and Venkataraman",FMCG,Startup (<50),Kottayam,Tier-2,2023-12-15
163,Vora-Raghavan,Financial Services,Enterprise (5000+),Nandyal,Tier-2,2024-03-06
164,Borah-Borde,Information Technology,Mid (200-1000),Amaravati,Tier-3,2023-12-11
165,Kibe and Sons,Automotive,Enterprise (5000+),Hyderabad,Tier-3,2023-12-20
166,Rao-Gole,E-Commerce,Mid (200-1000),Ongole,Tier-2,2024-02-13
167,Chadha Group,Automotive,Small (50-200),Chinsurah,Tier-2,2023-12-15
168,Nagy PLC,Cybersecurity,Small (50-200),Machilipatnam,Tier-1,2024-02-22
169,"Biswas, Parmer and Dora",Cybersecurity,Small (50-200),Udupi,Tier-3,2024-02-23
170,Badal Inc,Telecommunications,Small (50-200),Haldia,Tier-3,2023-08-26
171,Sibal-Narang,Manufacturing,Large (1000-5000),Hosur,Tier-1,2023-10-07
172,Sridhar and Sons,FMCG,Startup (<50),Unnao,Tier-3,2023-10-09
173,Seshadri-Jayaraman,Information Technology,Small (50-200),Sri Ganganagar,Tier-2,2023-10-04
174,"Gupta, Ravi and Nair",Logistics,Mid (200-1000),Anantapuram,Tier-3,2023-12-02
175,"Varughese, Nayar and Vala",Financial Services,Mid (200-1000),Saharsa,Tier-2,2024-02-22
176,Zachariah-Sinha,Consulting,Mid (200-1000),Udaipur,Tier-3,2023-11-13
177,Soni-Merchant,Consulting,Small (50-200),Berhampur,Tier-3,2023-07-15
178,Yogi Group,Healthcare,Large (1000-5000),Jhansi,Tier-3,2023-11-01
179,Chauhan-Kulkarni,Manufacturing,Small (50-200),Guntakal,Tier-3,2023-06-25
180,Chopra Inc,Automotive,Mid (200-1000),Orai,Tier-3,2024-03-03
181,"Sahota, Grewal and Chowdhury",Healthcare,Small (50-200),Patiala,Tier-3,2023-09-29
182,Patla-Sangha,Financial Services,Small (50-200),Orai,Tier-1,2024-03-05
183,"Seth, Gill and Bandi",Healthcare,Mid (200-1000),Mehsana,Tier-2,2024-03-05
184,"Shroff, Ganesh and Iyengar",Information Technology,Mid (200-1000),Jamnagar,Tier-2,2023-08-02
185,"Bumb, Varghese and Ghose",Consulting,Startup (<50),Giridih,Tier-3,2024-03-23
186,"Patla, Mani and Bahl",Cybersecurity,Large (1000-5000),Aurangabad,Tier-2,2023-09-06
187,"Balakrishnan, Kar and Viswanathan",Manufacturing,Mid (200-1000),Salem,Tier-3,2024-01-27
188,Chandran PLC,Consulting,Mid (200-1000),Bardhaman,Tier-2,2024-03-26
189,"Mann, Raval and Joshi",Financial Services,Mid (200-1000),Allahabad,Tier-2,2023-08-09
190,Sehgal and Sons,Logistics,Mid (200-1000),Dharmavaram,Tier-3,2023-09-13
191,"Dube, Suri and Mody",Telecommunications,Large (1000-5000),Kollam,Tier-1,2024-02-08
192,Dutt Inc,FMCG,Startup (<50),Saharanpur,Tier-2,2023-10-05
193,"Joshi, Basak and Roy",Logistics,Startup (<50),Thane,Tier-3,2024-03-09
194,Nagar Inc,Information Technology,Small (50-200),Kharagpur,Tier-3,2023-07-17
195,Kanda LLC,Logistics,Mid (200-1000),Patiala,Tier-3,2023-08-20
196,Kaul PLC,E-Commerce,Mid (200-1000),Jehanabad,Tier-2,2023-06-15
197,Basak Ltd,Financial Services,Large (1000-5000),Jhansi,Tier-3,2023-12-15
198,Bedi and Sons,Healthcare,Enterprise (5000+),Jalgaon,Tier-3,2023-07-20
199,Natt Ltd,Automotive,Startup (<50),Begusarai,Tier-2,2023-12-05
200,"Gade, Mann and Kapur",E-Commerce,Mid (200-1000),Uluberia,Tier-1,2023-06-16
201,Nori-Aurora,Information Technology,Mid (200-1000),Jamalpur,Tier-3,2023-08-18
202,Rout-Memon,Healthcare,Mid (200-1000),Karimnagar,Tier-3,2024-03-23
203,Amble-Kala,Financial Services,Startup (<50),Silchar,Tier-2,2023-12-04
204,Mammen-Nadkarni,E-Commerce,Startup (<50),Amravati,Tier-3,2023-09-19
205,"Om, Sridhar and Mohanty",Financial Services,Small (50-200),Dewas,Tier-2,2023-09-08
206,Srinivasan-Prabhakar,Healthcare,Mid (200-1000),Durg,Tier-2,2023-12-20
207,"Korpal, Dubey and Soman",Logistics,Enterprise (5000+),Thiruvananthapuram,Tier-2,2023-09-20
208,Raghavan Inc,Logistics,Mid (200-1000),New Delhi,Tier-2,2023-07-05
209,Bhasin Ltd,Manufacturing,Mid (200-1000),Kochi,Tier-3,2023-06-03
210,Dube Inc,FMCG,Startup (<50),Bangalore,Tier-3,2024-03-10
211,Kala-Som,E-Commerce,Startup (<50),Etawah,Tier-1,2023-07-11
212,Manda and Sons,E-Commerce,Enterprise (5000+),Surendranagar Dudhrej,Tier-3,2024-02-04
213,Krishna Inc,Information Technology,Mid (200-1000),Aizawl,Tier-2,2023-09-02
214,"Bassi, Sastry and Gaba",Healthcare,Startup (<50),Bulandshahr,Tier-1,2023-08-02
215,"Chaudhary, Srivastava and Choudhury",Automotive,Startup (<50),Tumkur,Tier-3,2024-01-05
216,Bhagat Ltd,Telecommunications,Mid (200-1000),Nizamabad,Tier-2,2023-09-04
217,Sidhu LLC,Information Technology,Small (50-200),Jaunpur,Tier-3,2023-07-28
218,Swaminathan-Upadhyay,E-Commerce,Mid (200-1000),Mira-Bhayandar,Tier-3,2023-11-26
219,Dalal-Basu,FMCG,Mid (200-1000),Bhiwani,Tier-1,2023-06-10
220,Thakur-Subramanian,Healthcare,Startup (<50),Solapur,Tier-2,2023-07-21
221,Ramesh Group,Logistics,Large (1000-5000),Pallavaram,Tier-2,2024-01-20
222,Om-Kalita,Telecommunications,Startup (<50),Yamunanagar,Tier-2,2023-11-11
223,Sibal PLC,Consulting,Small (50-200),Kalyan-Dombivli,Tier-1,2024-03-21
224,Raghavan-Pingle,Cybersecurity,Startup (<50),Guwahati,Tier-3,2023-06-08
225,Mangal-Bhasin,Information Technology,Large (1000-5000),Saharanpur,Tier-3,2023-06-03
226,"Dixit, Saran and Doctor",Cybersecurity,Small (50-200),Malda,Tier-3,2023-07-24
227,Khosla-Ray,Logistics,Small (50-200),Machilipatnam,Tier-2,2024-03-24
228,"Anand, Gaba and Mohanty",Logistics,Startup (<50),Salem,Tier-2,2023-07-11
229,"Mani, Peri and Nadig",Telecommunications,Small (50-200),Serampore,Tier-3,2023-12-10
230,Choudhury Ltd,EdTech,Small (50-200),Tiruvottiyur,Tier-2,2023-09-17
231,Pillai-Varma,E-Commerce,Enterprise (5000+),Chapra,Tier-2,2023-10-29
232,"Wable, Doshi and Chander",Manufacturing,Large (1000-5000),Gandhidham,Tier-2,2024-02-27
233,Patel Ltd,Healthcare,Large (1000-5000),Farrukhabad,Tier-3,2023-10-10
234,Devi-Pant,Healthcare,Enterprise (5000+),Bahraich,Tier-2,2024-02-17
235,Kala Inc,Telecommunications,Mid (200-1000),Pondicherry,Tier-2,2023-07-29
236,Menon-Kannan,EdTech,Small (50-200),Dewas,Tier-1,2023-07-08
237,Kara-Sood,EdTech,Mid (200-1000),Karawal Nagar,Tier-3,2023-10-24
238,"Arora, Tiwari and Som",Cybersecurity,Startup (<50),Panvel,Tier-2,2024-02-08
239,"Jani, Varghese and Madan",Manufacturing,Small (50-200),Haldia,Tier-3,2024-01-09
240,"Sunder, Dara and Pau",FMCG,Enterprise (5000+),Sikar,Tier-1,2023-07-30
241,"Dhawan, Mittal and Balan",Financial Services,Large (1000-5000),Kulti,Tier-3,2024-01-25
242,"Kalita, Nayar and Chakrabarti",Logistics,Startup (<50),Ajmer,Tier-3,2023-06-30
243,"Ravel, Kuruvilla and Sidhu",Cybersecurity,Small (50-200),Karaikudi,Tier-3,2024-03-09
244,"Bera, Jha and Saran",Telecommunications,Large (1000-5000),Eluru,Tier-2,2023-06-06
245,Chawla-Shankar,E-Commerce,Mid (200-1000),Akola,Tier-2,2024-02-03
246,Bajwa and Sons,E-Commerce,Small (50-200),Gorakhpur,Tier-1,2024-02-28
247,"Keer, Bath and Dyal",E-Commerce,Small (50-200),Lucknow,Tier-3,2023-06-17
248,Mallick LLC,Manufacturing,Small (50-200),Solapur,Tier-1,2023-06-28
